Title,Creator,Checkouts
Becoming (Unabridged),Michelle Obama,16029
Educated: A Memoir,Tara Westover,15013
So You Want to Talk about Race (Unabridged),Ijeoma Oluo,14932
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,13051
Where the Crawdads Sing,Delia Owens,12996
Becoming,Michelle Obama,12940
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondo,11590
Educated : a memoir / Tara Westover.,"Westover, Tara",11530
Between the World and Me,Ta-Nehisi Coates,11475
The Martian: A Novel,Andy Weir,10908
The Girl on the Train: A Novel,Paula Hawkins,10744
Educated: A Memoir (unabridged) (Unabridged),Tara Westover,10400
All the Light We Cannot See: A Novel (unabridged) (Unabridged),Anthony Doerr,9864
All the Light We Cannot See: A Novel,Anthony Doerr,9814
The Book Thief,Markus Zusak,9643
The Handmaid's Tale,Margaret Atwood,9570
Becoming / Michelle Obama.,"Obama, Michelle, 1964-",9375
Where the crawdads sing / Delia Owens.,"Owens, Delia",9146
"Crazy Rich Asians: Crazy Rich Asians Series, Book 1",Kevin Kwan,9069
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing (unabridged) (Unabridged),Marie Kondo,8708
Where the Crawdads Sing (Unabridged),Delia Owens,8470
"The Cuckoo's Calling: Cormoran Strike Series, Book 1",Robert Galbraith,8428
The Underground Railroad (Oprah's Book Club): A Novel,Colson Whitehead,8421
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (unabridged) (Unabridged),Mark Manson,8316
When Breath Becomes Air,Paul Kalanithi,8136
"Where'd You Go, Bernadette: A Novel",Maria Semple,8028
Talking to Strangers: What We Should Know about the People We Don't Know (unabridged) (Unabridged),Malcolm Gladwell,8007
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life (unabridged) (Unabridged),Jen Sincero,7895
"Harry Potter and the Sorcerer's Stone: Harry Potter Series, Book 1 (unabridged) (Unabridged)",J. K. Rowling,7698
A Gentleman in Moscow: A Novel,Amor Towles,7694
Ready Player One,Ernest Cline,7664
Everything I Never Told You (Unabridged),Celeste Ng,7639
The hate u give / Angie Thomas.,"Thomas, Angie",7525
"Outlander: Outlander Series, Book 1",Diana Gabaldon,7489
Big Little Lies,Liane Moriarty,7409
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,7391
Little Fires Everywhere: A Novel,Celeste Ng,7230
Born a Crime: Stories from a South African Childhood,Trevor Noah,7214
"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge and the Teachings of Plants (unabridged) (Unabridged)",Robin Wall Kimmerer,7196
Eleanor Oliphant Is Completely Fine: A Novel,Gail Honeyman,7105
Station Eleven: A novel,Emily St. John Mandel,7090
Yes Please (Unabridged),Amy Poehler,6908
There there / Tommy Orange.,"Orange, Tommy, 1982-",6858
Astrophysics for People in a Hurry (Unabridged),Neil DeGrasse Tyson,6828
Artemis: A Novel,Andy Weir,6788
"A Game of Thrones: A Song of Ice and Fire Series, Book 1",George R. R. Martin,6774
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,6758
The Night Circus,Erin Morgenstern,6716
All the light we cannot see : a novel / Anthony Doerr.,"Doerr, Anthony, 1973-",6669
A gentleman in Moscow / Amor Towles.,"Towles, Amor",6664
Gone Girl: A Novel,Gillian Flynn,6638
White Fragility: Why It's So Hard for White People to Talk About Racism,Robin DiAngelo,6625
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis (unabridged) (Unabridged),J. D. Vance,6540
A Little Life: A Novel,Hanya Yanagihara,6468
Today Will Be Different,Maria Semple,6424
Sapiens: A Brief History of Humankind (unabridged) (Unabridged),Yuval Noah Harari,6394
The girl on the train / Paula Hawkins.,"Hawkins, Paula.",6324
The overstory : a novel / Richard Powers.,"Powers, Richard, 1957-",6252
The Power,Naomi Alderman,6247
Little fires everywhere / Celeste Ng.,"Ng, Celeste",6190
Sharp Objects: A Novel,Gillian Flynn,6164
1Q84,Haruki Murakami,6125
Less : a novel / Andrew Sean Greer.,"Greer, Andrew Sean",6097
There There: A Novel,Tommy Orange,6079
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,6037
Hillbilly elegy : a memoir of a family and culture in crisis / J.D. Vance.,"Vance, J. D.",6024
Are you ready to play outside? / by Mo Willems.,"Willems, Mo",5976
So you want to talk about race / Ijeoma Oluo.,"Oluo, Ijeoma",5926
Little Fires Everywhere (Unabridged),Celeste Ng,5882
Pachinko / Min Jin Lee.,"Lee, Min Jin",5881
The Underground Railroad : a novel / Colson Whitehead.,"Whitehead, Colson, 1969-",5852
Pigs make me sneeze! / by Mo Willems.,"Willems, Mo",5798
Between the World and Me (Unabridged),Ta-Nehisi Coates,5766
"The Hunger Games: The Hunger Games Series, Book 1 (unabridged) (Unabridged)",Suzanne Collins,5747
"The Giver: The Giver Quartet, Book 1",Lois Lowry,5747
"A Wrinkle In Time: Time Quartet, Book 1 (unabridged) (Unabridged)",Madeleine L'engle,5738
Nine Perfect Strangers: A Novel,Liane Moriarty,5688
Everything I Never Told You: A Novel,Celeste Ng,5687
The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from Japanese by Cathy Hirano.,"Kondō, Marie",5664
Me Before You,Jojo Moyes,5641
Small Great Things: A Novel,Jodi Picoult,5635
Sapiens: A Brief History of Humankind,Yuval Noah Harari,5609
How to Be an Antiracist,Ibram X. Kendi,5586
Sapiens : a brief history of humankind / Yuval Noah Harari.,"Harari, Yuval N.",5529
Ready Player One (Unabridged),Ernest Cline,5479
White Fragility: Why It's So Hard for White People to Talk About Racism (unabridged) (Unabridged),Robin DiAngelo,5449
Elephants cannot dance! / by Mo Willems.,"Willems, Mo",5417
The Vanishing Half: A Novel,Brit Bennett,5392
Born a crime : stories from a South African childhood / Trevor Noah.,"Noah, Trevor, 1984-",5373
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,5371
The power : a novel / Naomi Alderman.,"Alderman, Naomi",5344
